image_id,label
0,Earring Silver Hoop
0,Background Orange
0,Fur Robot
0,Clothes Striped Tee
0,Mouth Discomfort
0,Eyes X Eyes
1,Mouth Grin
1,Clothes Vietnam Jacket
1,Background Orange
1,Eyes Blue Beams
1,Fur Robot
2,Eyes 3d
2,Mouth Bored Cigarette
2,Fur Robot
2,Hat Sea Captain's Hat
2,Background Aquamarine
3,Background Purple
3,Eyes Bored
3,Mouth Tongue Out
3,Clothes Bone Necklace
3,Fur Cheetah
4,Clothes Navy Striped Tee
4,Mouth Phoneme L
4,Hat Party Hat 2
4,Fur Golden Brown
4,Eyes Closed
4,Background Blue
5,Hat Bayc Flipped Brim
5,Eyes X Eyes
5,Fur Brown
5,Background Army Green
5,Clothes Bayc T Red
5,Mouth Dumbfounded
6,Clothes Tweed Suit
6,Mouth Bored
6,Fur Cream
6,Eyes Crazy
6,Background Yellow
6,Hat S&m Hat
7,Background Gray
7,Hat Stuntman Helmet
7,Eyes Angry
7,Mouth Bored
7,Clothes Wool Turtleneck
7,Fur Golden Brown
8,Mouth Bored
8,Background Aquamarine
8,Hat Beanie
8,Earring Gold Stud
8,Eyes Robot
8,Fur Zombie
9,Earring Silver Stud
9,Eyes Sleepy
9,Mouth Small Grin
9,Fur Brown
9,Hat Seaman's Hat
9,Clothes Stunt Jacket
9,Background Purple
10,Clothes Navy Striped Tee
10,Background Aquamarine
10,Hat Bayc Hat Red
10,Fur Dmt
10,Eyes Eyepatch
10,Mouth Bored
11,Background Gray
11,Fur Dark Brown
11,Hat Laurel Wreath
11,Mouth Bored Unshaven Cigarette
11,Clothes Smoking Jacket
11,Eyes Bloodshot
12,Background Army Green
12,Clothes Black Holes T
12,Hat Seaman's Hat
12,Eyes Wide Eyed
12,Fur Brown
12,Mouth Discomfort
13,Fur Black
13,Mouth Bored
13,Clothes Bone Tee
13,Background Yellow
13,Eyes Coins
13,Hat Police Motorcycle Helmet
14,Mouth Small Grin
14,Earring Diamond Stud
14,Fur Cheetah
14,Background Orange
14,Eyes 3d
14,Clothes Tanktop
15,Background Gray
15,Fur Gray
15,Eyes Zombie
15,Mouth Phoneme L
15,Clothes Black T
15,Hat Girl's Hair Pink
16,Mouth Dumbfounded
16,Clothes Bone Necklace
16,Background Purple
16,Hat Horns
16,Earring Silver Hoop
16,Fur Dark Brown
16,Eyes Bored
17,Mouth Bored Unshaven
17,Background New Punk Blue
17,Eyes Closed
17,Clothes Bayc T Black
17,Earring Gold Stud
17,Hat Commie Hat
17,Fur Tan
18,Mouth Bored Cigarette
18,Fur Robot
18,Eyes Cyborg
18,Background Purple
18,Clothes Vietnam Jacket
19,Eyes Eyepatch
19,Fur Tan
19,Background Army Green
19,Hat Bayc Hat Black
19,Mouth Rage
20,Hat Beanie
20,Fur Gray
20,Background Blue
20,Eyes 3d
20,Clothes Bandolier
20,Mouth Phoneme Vuh
21,Fur Black
21,Background Orange
21,Clothes Black Holes T
21,Mouth Phoneme  ooo
21,Eyes Bored
22,Fur Zombie
22,Background New Punk Blue
22,Clothes Tuxedo Tee
22,Eyes Sleepy
22,Hat S&m Hat
22,Earring Gold Stud
22,Mouth Bored Unshaven
23,Mouth Bored Pipe
23,Background Aquamarine
23,Fur Trippy
23,Eyes Bored
23,Hat Beanie
24,Clothes Bayc T Black
24,Mouth Dumbfounded
24,Hat Fez
24,Fur Black
24,Background Aquamarine
24,Eyes Hypnotized
25,Mouth Bored Cigarette
25,Background Blue
25,Clothes Guayabera
25,Fur Brown
25,Eyes Closed
26,Eyes 3d
26,Fur Dark Brown
26,Hat Stuntman Helmet
26,Mouth Bored Cigarette
26,Background Aquamarine
26,Clothes Stunt Jacket
27,Clothes Sleeveless T
27,Fur Gray
27,Eyes Bored
27,Hat Army Hat
27,Mouth Bored
27,Background Orange
28,Hat Bayc Flipped Brim
28,Fur Tan
28,Mouth Bored Cigarette
28,Earring Silver Stud
28,Background Purple
28,Eyes X Eyes
29,Mouth Bored Unshaven
29,Eyes Robot
29,Background Blue
29,Fur Tan
30,Clothes Tuxedo Tee
30,Eyes Holographic
30,Mouth Bored Unshaven Cigarette
30,Background Aquamarine
