image_id,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
0,Orange,Striped Tee,Silver Hoop,X Eyes,Robot,,Discomfort
1,Orange,Vietnam Jacket,,Blue Beams,Robot,,Grin
2,Aquamarine,,,3d,Robot,Sea Captain's Hat,Bored Cigarette
3,Purple,Bone Necklace,,Bored,Cheetah,,Tongue Out
4,Blue,Navy Striped Tee,,Closed,Golden Brown,Party Hat 2,Phoneme L
5,Army Green,Bayc T Red,,X Eyes,Brown,Bayc Flipped Brim,Dumbfounded
6,Yellow,Tweed Suit,,Crazy,Cream,S&m Hat,Bored
7,Gray,Wool Turtleneck,,Angry,Golden Brown,Stuntman Helmet,Bored
8,Aquamarine,,Gold Stud,Robot,Zombie,Beanie,Bored
9,Purple,Stunt Jacket,Silver Stud,Sleepy,Brown,Seaman's Hat,Small Grin
10,Aquamarine,Navy Striped Tee,,Eyepatch,Dmt,Bayc Hat Red,Bored
11,Gray,Smoking Jacket,,Bloodshot,Dark Brown,Laurel Wreath,Bored Unshaven Cigarette
12,Army Green,Black Holes T,,Wide Eyed,Brown,Seaman's Hat,Discomfort
13,Yellow,Bone Tee,,Coins,Black,Police Motorcycle Helmet,Bored
14,Orange,Tanktop,Diamond Stud,3d,Cheetah,,Small Grin
15,Gray,Black T,,Zombie,Gray,Girl's Hair Pink,Phoneme L
16,Purple,Bone Necklace,Silver Hoop,Bored,Dark Brown,Horns,Dumbfounded
17,New Punk Blue,Bayc T Black,Gold Stud,Closed,Tan,Commie Hat,Bored Unshaven
18,Purple,Vietnam Jacket,,Cyborg,Robot,,Bored Cigarette
19,Army Green,,,Eyepatch,Tan,Bayc Hat Black,Rage
20,Blue,Bandolier,,3d,Gray,Beanie,Phoneme Vuh
21,Orange,Black Holes T,,Bored,Black,,Phoneme  ooo
22,New Punk Blue,Tuxedo Tee,Gold Stud,Sleepy,Zombie,S&m Hat,Bored Unshaven
23,Aquamarine,,,Bored,Trippy,Beanie,Bored Pipe
24,Aquamarine,Bayc T Black,,Hypnotized,Black,Fez,Dumbfounded
25,Blue,Guayabera,,Closed,Brown,,Bored Cigarette
26,Aquamarine,Stunt Jacket,,3d,Dark Brown,Stuntman Helmet,Bored Cigarette
27,Orange,Sleeveless T,,Bored,Gray,Army Hat,Bored
28,Purple,,Silver Stud,X Eyes,Tan,Bayc Flipped Brim,Bored Cigarette
29,Blue,,,Robot,Tan,,Bored Unshaven
30,Aquamarine,Tuxedo Tee,,Holographic,Gray,,Bored Unshaven Cigarette
31,Yellow,Black Holes T,Silver Hoop,Eyepatch,Dmt,Party Hat 2,Bored Unshaven
32,Purple,Hip Hop,,Sunglasses,Dark Brown,Halo,Bored
33,Purple,Vietnam Jacket,,Closed,Red,Girl's Hair Pink,Small Grin
34,Orange,Sleeveless T,,Sleepy,Black,Bayc Hat Red,Bored
35,Blue,Navy Striped Tee,,3d,Death Bot,,Jovial
36,Purple,Sailor Shirt,,Bored,Dark Brown,,Bored Unshaven
37,Blue,Striped Tee,Silver Hoop,Bored,Blue,Bowler,Bored
38,Blue,Navy Striped Tee,Cross,Closed,Black,,Bored Cigarette
39,Aquamarine,Leather Jacket,,Bloodshot,Gray,Fez,Dumbfounded
40,New Punk Blue,Biker Vest,,Sad,Dark Brown,Spinner Hat,Bored
41,Purple,Navy Striped Tee,,Sad,Dark Brown,Sea Captain's Hat,Phoneme  ooo
