,image_id,trait_type,value
0,0,Earring,Silver Hoop
1,0,Background,Orange
2,0,Fur,Robot
3,0,Clothes,Striped Tee
4,0,Mouth,Discomfort
5,0,Eyes,X Eyes
6,1,Mouth,Grin
7,1,Clothes,Vietnam Jacket
8,1,Background,Orange
9,1,Eyes,Blue Beams
10,1,Fur,Robot
11,2,Eyes,3d
12,2,Mouth,Bored Cigarette
13,2,Fur,Robot
14,2,Hat,Sea Captain's Hat
15,2,Background,Aquamarine
16,3,Background,Purple
17,3,Eyes,Bored
18,3,Mouth,Tongue Out
19,3,Clothes,Bone Necklace
20,3,Fur,Cheetah
21,4,Clothes,Navy Striped Tee
22,4,Mouth,Phoneme L
23,4,Hat,Party Hat 2
24,4,Fur,Golden Brown
25,4,Eyes,Closed
26,4,Background,Blue
27,5,Hat,Bayc Flipped Brim
28,5,Eyes,X Eyes
29,5,Fur,Brown
30,5,Background,Army Green
31,5,Clothes,Bayc T Red
32,5,Mouth,Dumbfounded
33,6,Clothes,Tweed Suit
34,6,Mouth,Bored
35,6,Fur,Cream
36,6,Eyes,Crazy
37,6,Background,Yellow
38,6,Hat,S&m Hat
39,7,Background,Gray
40,7,Hat,Stuntman Helmet
41,7,Eyes,Angry
42,7,Mouth,Bored
43,7,Clothes,Wool Turtleneck
44,7,Fur,Golden Brown
45,8,Mouth,Bored
46,8,Background,Aquamarine
47,8,Hat,Beanie
48,8,Earring,Gold Stud
49,8,Eyes,Robot
50,8,Fur,Zombie
51,9,Earring,Silver Stud
52,9,Eyes,Sleepy
53,9,Mouth,Small Grin
54,9,Fur,Brown
55,9,Hat,Seaman's Hat
56,9,Clothes,Stunt Jacket
57,9,Background,Purple
58,10,Clothes,Navy Striped Tee
59,10,Background,Aquamarine
60,10,Hat,Bayc Hat Red
61,10,Fur,Dmt
62,10,Eyes,Eyepatch
63,10,Mouth,Bored
64,11,Background,Gray
65,11,Fur,Dark Brown
66,11,Hat,Laurel Wreath
67,11,Mouth,Bored Unshaven Cigarette
68,11,Clothes,Smoking Jacket
69,11,Eyes,Bloodshot
70,12,Background,Army Green
71,12,Clothes,Black Holes T
72,12,Hat,Seaman's Hat
73,12,Eyes,Wide Eyed
74,12,Fur,Brown
75,12,Mouth,Discomfort
76,13,Fur,Black
77,13,Mouth,Bored
78,13,Clothes,Bone Tee
79,13,Background,Yellow
80,13,Eyes,Coins
81,13,Hat,Police Motorcycle Helmet
82,14,Mouth,Small Grin
83,14,Earring,Diamond Stud
84,14,Fur,Cheetah
85,14,Background,Orange
86,14,Eyes,3d
87,14,Clothes,Tanktop
88,15,Background,Gray
89,15,Fur,Gray
90,15,Eyes,Zombie
91,15,Mouth,Phoneme L
92,15,Clothes,Black T
93,15,Hat,Girl's Hair Pink
94,16,Mouth,Dumbfounded
95,16,Clothes,Bone Necklace
96,16,Background,Purple
97,16,Hat,Horns
98,16,Earring,Silver Hoop
99,16,Fur,Dark Brown
100,16,Eyes,Bored
101,17,Mouth,Bored Unshaven
102,17,Background,New Punk Blue
103,17,Eyes,Closed
104,17,Clothes,Bayc T Black
105,17,Earring,Gold Stud
106,17,Hat,Commie Hat
107,17,Fur,Tan
108,18,Mouth,Bored Cigarette
109,18,Fur,Robot
110,18,Eyes,Cyborg
111,18,Background,Purple
112,18,Clothes,Vietnam Jacket
113,19,Eyes,Eyepatch
114,19,Fur,Tan
115,19,Background,Army Green
116,19,Hat,Bayc Hat Black
117,19,Mouth,Rage
118,20,Hat,Beanie
119,20,Fur,Gray
120,20,Background,Blue
121,20,Eyes,3d
122,20,Clothes,Bandolier
123,20,Mouth,Phoneme Vuh
124,21,Fur,Black
125,21,Background,Orange
126,21,Clothes,Black Holes T
127,21,Mouth,Phoneme  ooo
128,21,Eyes,Bored
129,22,Fur,Zombie
130,22,Background,New Punk Blue
131,22,Clothes,Tuxedo Tee
132,22,Eyes,Sleepy
133,22,Hat,S&m Hat
134,22,Earring,Gold Stud
135,22,Mouth,Bored Unshaven
136,23,Mouth,Bored Pipe
137,23,Background,Aquamarine
138,23,Fur,Trippy
139,23,Eyes,Bored
140,23,Hat,Beanie
141,24,Clothes,Bayc T Black
142,24,Mouth,Dumbfounded
143,24,Hat,Fez
144,24,Fur,Black
145,24,Background,Aquamarine
146,24,Eyes,Hypnotized
147,25,Mouth,Bored Cigarette
148,25,Background,Blue
149,25,Clothes,Guayabera
150,25,Fur,Brown
151,25,Eyes,Closed
152,26,Eyes,3d
153,26,Fur,Dark Brown
154,26,Hat,Stuntman Helmet
155,26,Mouth,Bored Cigarette
156,26,Background,Aquamarine
157,26,Clothes,Stunt Jacket
158,27,Clothes,Sleeveless T
159,27,Fur,Gray
160,27,Eyes,Bored
161,27,Hat,Army Hat
162,27,Mouth,Bored
163,27,Background,Orange
164,28,Hat,Bayc Flipped Brim
165,28,Fur,Tan
166,28,Mouth,Bored Cigarette
167,28,Earring,Silver Stud
168,28,Background,Purple
169,28,Eyes,X Eyes
170,29,Mouth,Bored Unshaven
171,29,Eyes,Robot
172,29,Background,Blue
173,29,Fur,Tan
174,30,Clothes,Tuxedo Tee
175,30,Eyes,Holographic
176,30,Mouth,Bored Unshaven Cigarette
177,30,Background,Aquamarine
178,30,Fur,Gray
179,31,Clothes,Black Holes T
180,31,Background,Yellow
181,31,Eyes,Eyepatch
182,31,Fur,Dmt
183,31,Earring,Silver Hoop
184,31,Hat,Party Hat 2
185,31,Mouth,Bored Unshaven
186,32,Fur,Dark Brown
187,32,Mouth,Bored
188,32,Clothes,Hip Hop
189,32,Hat,Halo
190,32,Eyes,Sunglasses
191,32,Background,Purple
192,33,Background,Purple
193,33,Mouth,Small Grin
194,33,Hat,Girl's Hair Pink
195,33,Eyes,Closed
196,33,Clothes,Vietnam Jacket
197,33,Fur,Red
198,34,Eyes,Sleepy
199,34,Hat,Bayc Hat Red
200,34,Clothes,Sleeveless T
201,34,Fur,Black
202,34,Background,Orange
203,34,Mouth,Bored
204,35,Fur,Death Bot
205,35,Background,Blue
206,35,Clothes,Navy Striped Tee
207,35,Mouth,Jovial
208,35,Eyes,3d
209,36,Clothes,Sailor Shirt
210,36,Background,Purple
211,36,Eyes,Bored
212,36,Mouth,Bored Unshaven
213,36,Fur,Dark Brown
214,37,Clothes,Striped Tee
215,37,Earring,Silver Hoop
216,37,Fur,Blue
217,37,Background,Blue
218,37,Mouth,Bored
219,37,Eyes,Bored
220,37,Hat,Bowler
221,38,Earring,Cross
222,38,Clothes,Navy Striped Tee
223,38,Mouth,Bored Cigarette
224,38,Eyes,Closed
225,38,Fur,Black
226,38,Background,Blue
227,39,Hat,Fez
228,39,Background,Aquamarine
229,39,Fur,Gray
230,39,Mouth,Dumbfounded
231,39,Eyes,Bloodshot
232,39,Clothes,Leather Jacket
233,40,Mouth,Bored
234,40,Fur,Dark Brown
235,40,Background,New Punk Blue
236,40,Clothes,Biker Vest
237,40,Eyes,Sad
238,40,Hat,Spinner Hat
239,41,Eyes,Sad
240,41,Clothes,Navy Striped Tee
241,41,Hat,Sea Captain's Hat
242,41,Fur,Dark Brown
243,41,Mouth,Phoneme  ooo
244,41,Background,Purple
245,42,Hat,Baby's Bonnet
246,42,Background,Yellow
247,42,Clothes,Biker Vest
248,42,Mouth,Bored Pizza
249,42,Fur,Dark Brown
250,42,Eyes,Coins
251,43,Background,Orange
252,43,Fur,Brown
253,43,Clothes,Wool Turtleneck
254,43,Eyes,Coins
255,43,Mouth,Grin
256,43,Earring,Silver Stud
257,44,Mouth,Bored Unshaven
258,44,Fur,Gray
259,44,Earring,Gold Stud
260,44,Background,New Punk Blue
261,44,Clothes,Tweed Suit
262,44,Hat,Baby's Bonnet
263,44,Eyes,Coins
264,45,Mouth,Phoneme Wah
265,45,Earring,Silver Stud
266,45,Clothes,Lumberjack Shirt
267,45,Background,Orange
268,45,Eyes,Eyepatch
269,45,Fur,Black
270,46,Clothes,Bone Necklace
271,46,Mouth,Bored
272,46,Eyes,Heart
273,46,Fur,Gray
274,46,Hat,Fez
275,46,Background,Gray
276,47,Mouth,Bored Cigarette
277,47,Eyes,3d
278,47,Hat,Sea Captain's Hat
279,47,Background,Army Green
280,47,Fur,Pink
281,48,Clothes,Prison Jumpsuit
282,48,Eyes,Scumbag
283,48,Mouth,Bored Unshaven
284,48,Background,Blue
285,48,Fur,Red
286,49,Fur,Cheetah
287,49,Earring,Silver Stud
288,49,Clothes,Bone Tee
289,49,Background,Purple
290,49,Hat,Fisherman's Hat
291,49,Eyes,Bored
292,49,Mouth,Bored Unshaven Cigarette
293,50,Clothes,Sailor Shirt
294,50,Fur,Robot
295,50,Mouth,Tongue Out
296,50,Eyes,Bored
297,50,Background,Army Green
298,50,Hat,Seaman's Hat
299,51,Eyes,Cyborg
300,51,Mouth,Bored Unshaven
301,51,Background,Orange
302,51,Fur,Dark Brown
303,51,Clothes,Lumberjack Shirt
304,51,Hat,Girl's Hair Short
305,52,Fur,Black
306,52,Hat,King's Crown
307,52,Clothes,Work Vest
308,52,Background,Army Green
309,52,Mouth,Bored
310,52,Eyes,Sleepy
311,53,Fur,Brown
312,53,Eyes,Wide Eyed
313,53,Background,Yellow
314,53,Hat,Fez
315,53,Mouth,Grin
316,54,Eyes,Sleepy
317,54,Fur,Pink
318,54,Mouth,Bored
319,54,Clothes,Leather Jacket
320,54,Background,Purple
321,55,Background,New Punk Blue
322,55,Clothes,Lumberjack Shirt
