,image_id,trait_type,value
0,0,type,Female
1,0,accessory,Green Eye Shadow
2,0,accessory,Earring
3,0,accessory,Blonde Bob
4,0,accessory,3 attributes
5,10,type,Female
6,10,accessory,Mohawk
7,10,accessory,Blue Eye Shadow
8,10,accessory,2 attributes
9,100,type,Female
10,100,accessory,Tassle Hat
11,100,accessory,1 attributes
12,1001,type,Male
13,1001,accessory,Peak Spike
14,1001,accessory,Nerd Glasses
15,1001,accessory,Luxurious Beard
16,1002,type,Male
17,1002,accessory,Mohawk Dark
18,1003,type,Male
19,1003,accessory,Nerd Glasses
20,1003,accessory,Frumpy Hair
21,1004,type,Female
22,1004,accessory,Messy Hair
23,1004,accessory,Black Lipstick
24,1004,accessory,2 attributes
25,1005,type,Male
26,1005,accessory,Regular Shades
27,1005,accessory,Purple Hair
28,1006,type,Male
29,1006,accessory,Regular Shades
30,1006,accessory,Wild Hair
31,1006,accessory,2 attributes
32,1007,type,Male
33,1007,accessory,Vampire Hair
34,1007,accessory,Earring
35,1007,accessory,Regular Shades
36,1008,type,Male
37,1008,accessory,Earring
38,1008,accessory,Luxurious Beard
39,1008,accessory,Cap Forward
40,1009,type,Male
41,1009,accessory,Cap
42,1009,accessory,Luxurious Beard
43,101,type,Male
44,101,accessory,Nerd Glasses
45,101,accessory,Police Cap
46,101,accessory,2 attributes
47,1011,type,Female
48,1011,accessory,Stringy Hair
49,1011,accessory,Earring
50,1011,accessory,2 attributes
51,1012,type,Male
52,1012,accessory,Eye Patch
53,1012,accessory,Mohawk Thin
54,1012,accessory,2 attributes
55,1013,type,Male
56,1013,accessory,Clown Eyes Green
57,1013,accessory,Fedora
58,1014,type,Male
59,1014,accessory,Luxurious Beard
60,1014,accessory,Cap Forward
61,1015,type,Female
62,1015,accessory,Messy Hair
63,1015,accessory,Silver Chain
64,1017,type,Male
65,1017,accessory,Mole
66,1017,accessory,Goat
67,1017,accessory,Top Hat
68,1018,type,Male
69,1018,accessory,Front Beard
70,1018,accessory,Top Hat
71,1019,type,Male
72,1019,accessory,Chinstrap
73,1019,accessory,Regular Shades
74,1019,accessory,Headband
75,102,type,Male
76,102,accessory,Vampire Hair
77,102,accessory,Luxurious Beard
78,102,accessory,2 attributes
79,1021,accessory,Cap
80,1021,accessory,Eye Patch
81,1021,type,Ape
82,1021,accessory,2 attributes
83,1022,type,Male
84,1022,accessory,Mole
85,1022,accessory,Mohawk Thin
86,1022,accessory,2 attributes
87,1023,type,Female
88,1023,accessory,Hot Lipstick
89,1023,accessory,Headband
90,1024,type,Female
91,1024,accessory,Earring
92,1024,accessory,Hot Lipstick
93,1024,accessory,Wild Hair
94,1024,accessory,Clown Eyes Blue
95,1025,type,Male
96,1025,accessory,Earring
97,1025,accessory,Bandana
98,1025,accessory,2 attributes
99,1026,type,Male
100,1026,accessory,Peak Spike
101,1026,accessory,Mole
102,1026,accessory,Clown Eyes Blue
103,1026,accessory,3 attributes
104,1028,type,Male
105,1028,accessory,Big Shades
106,1028,accessory,Mohawk Thin
107,1029,type,Male
108,1029,accessory,Horned Rim Glasses
109,1029,accessory,Mustache
110,1029,accessory,2 attributes
111,103,type,Female
112,103,accessory,Green Eye Shadow
113,103,accessory,Black Lipstick
114,103,accessory,Blonde Bob
115,1030,type,Male
116,1030,accessory,Muttonchops
117,1030,accessory,Fedora
118,1031,type,Male
119,1031,accessory,Small Shades
120,1031,accessory,Cap Forward
121,1031,accessory,2 attributes
122,1032,type,Female
123,1032,accessory,Nerd Glasses
124,1032,accessory,Straight Hair Dark
125,1033,type,Female
126,1033,accessory,Messy Hair
127,1033,accessory,Hot Lipstick
128,1034,type,Male
129,1034,accessory,Earring
130,1034,accessory,Big Shades
131,1034,accessory,Hoodie
132,1034,accessory,Normal Beard Black
133,1035,type,Female
134,1035,accessory,Black Lipstick
135,1035,accessory,Wild Hair
136,1036,type,Male
137,1036,accessory,Classic Shades
138,1036,accessory,Mohawk Thin
139,1036,accessory,2 attributes
140,1037,type,Female
141,1037,accessory,Blue Eye Shadow
142,1037,accessory,Orange Side
