image_path,Background,Clothes,Earring,Eyes,Fur,Hat,Mouth
images/bored_apes\6448.jpg,Army Green,Service,,Bored,Tan,,Bored Unshaven Pipe
images/bored_apes\6831.jpg,Army Green,Service,,Bored,Black,,Discomfort
images/bored_apes\8451.jpg,Blue,Prom Dress,Diamond Stud,Sleepy,Death Bot,Fez,Phoneme L
images/bored_apes\39.jpg,Aquamarine,Leather Jacket,,Bloodshot,Gray,Fez,Dumbfounded
images/bored_apes\7458.jpg,Aquamarine,,,Bored,Robot,Seaman's Hat,Grin Diamond Grill
images/bored_apes\3776.jpg,Blue,Guayabera,,Coins,Gray,,Bored Unshaven Pipe
images/bored_apes\2069.jpg,Aquamarine,Bayc T Black,,Blindfold,Dark Brown,Irish Boho,Bored Cigarette
images/bored_apes\4347.jpg,Gray,,,Heart,Black,Beanie,Phoneme L
images/bored_apes\3936.jpg,Yellow,Navy Striped Tee,Silver Stud,Crazy,Dark Brown,,Dumbfounded
images/bored_apes\568.jpg,Purple,,,Bloodshot,Death Bot,Commie Hat,Bored
images/bored_apes\7024.jpg,New Punk Blue,Leather Punk Jacket,,Heart,Brown,,Jovial
images/bored_apes\4750.jpg,Orange,Hip Hop,,Blindfold,Pink,Cowboy Hat,Phoneme Oh
images/bored_apes\4002.jpg,Aquamarine,Bayc T Red,Silver Stud,Angry,Cream,Cowboy Hat,Bored
images/bored_apes\4698.jpg,Army Green,Striped Tee,,Blindfold,Dark Brown,Seaman's Hat,Grin
images/bored_apes\8819.jpg,Aquamarine,,Gold Hoop,Wide Eyed,Gray,Stuntman Helmet,Bored Cigarette
images/bored_apes\8859.jpg,Blue,,,Bored,Black,,Grin Multicolored
images/bored_apes\7846.jpg,Gray,Hawaiian,,Coins,Dark Brown,Ww2 Pilot Helm,Bored Cigarette
images/bored_apes\5987.jpg,Army Green,Hawaiian,,Sleepy,Cream,Army Hat,Grin Diamond Grill
images/bored_apes\2478.jpg,Army Green,Prison Jumpsuit,,Sad,Brown,Fez,Rage
images/bored_apes\9336.jpg,New Punk Blue,,,Closed,Cheetah,Vietnam Era Helmet,Dumbfounded
images/bored_apes\2260.jpg,Blue,Biker Vest,,Eyepatch,Black,S&m Hat,Grin
images/bored_apes\4484.jpg,Aquamarine,,,Wide Eyed,Black,S&m Hat,Bored
images/bored_apes\1261.jpg,Gray,,Silver Stud,Bloodshot,Noise,Seaman's Hat,Bored Unshaven
images/bored_apes\6995.jpg,Aquamarine,Puffy Vest,,Sleepy,Dark Brown,Faux Hawk,Bored Unshaven Cigarette
images/bored_apes\7548.jpg,Army Green,Vietnam Jacket,,Sleepy,Tan,Bunny Ears,Dumbfounded
images/bored_apes\2417.jpg,Yellow,Puffy Vest,,Robot,Blue,,Bored Unshaven Cigarette
images/bored_apes\6434.jpg,Gray,Prom Dress,,Eyepatch,Red,Irish Boho,Bored
images/bored_apes\2291.jpg,Orange,Bayc T Black,Cross,Bored,Dmt,Fez,Bored
images/bored_apes\8139.jpg,Gray,,,Bloodshot,Noise,Fez,Small Grin
images/bored_apes\7498.jpg,Gray,Lumberjack Shirt,Gold Stud,Wide Eyed,Tan,Fez,Phoneme Vuh
images/bored_apes\119.jpg,Blue,Hawaiian,Silver Stud,Angry,Gray,Beanie,Phoneme L
images/bored_apes\321.jpg,New Punk Blue,Navy Striped Tee,Gold Hoop,Sleepy,Cheetah,,Bored
images/bored_apes\1372.jpg,Gray,Leather Punk Jacket,,Eyepatch,Brown,Bayc Hat Red,Tongue Out
images/bored_apes\4394.jpg,New Punk Blue,,,Coins,Brown,,Grin
images/bored_apes\3235.jpg,Purple,Sailor Shirt,Gold Stud,Closed,Dark Brown,Bowler,Discomfort
images/bored_apes\2483.jpg,Purple,,Silver Stud,3d,Black,Halo,Phoneme Oh
images/bored_apes\5649.jpg,New Punk Blue,Work Vest,,Hypnotized,Brown,Army Hat,Bored Unshaven
images/bored_apes\5506.jpg,Orange,Puffy Vest,Silver Hoop,Eyepatch,Golden Brown,,Bored Cigarette
images/bored_apes\3034.jpg,Yellow,,,Heart,Dark Brown,Commie Hat,Bored
images/bored_apes\9066.jpg,Yellow,Leather Punk Jacket,Silver Stud,Blue Beams,Brown,,Jovial
images/bored_apes\96.jpg,Yellow,Stunt Jacket,,Sleepy,Robot,Girl's Hair Short,Bored Unshaven Cigarette
images/bored_apes\1626.jpg,Blue,,,Bloodshot,White,,Bored Cigarette
