image_id,label
0,type Female
0,accessory Green Eye Shadow
0,accessory Earring
0,accessory Blonde Bob
0,accessory 3 attributes
10,type Female
10,accessory Mohawk
10,accessory Blue Eye Shadow
10,accessory 2 attributes
100,type Female
100,accessory Tassle Hat
100,accessory 1 attributes
1001,type Male
1001,accessory Peak Spike
1001,accessory Nerd Glasses
1001,accessory Luxurious Beard
1002,type Male
1002,accessory Mohawk Dark
1003,type Male
1003,accessory Nerd Glasses
1003,accessory Frumpy Hair
1004,type Female
1004,accessory Messy Hair
1004,accessory Black Lipstick
1004,accessory 2 attributes
1005,type Male
1005,accessory Regular Shades
1005,accessory Purple Hair
1006,type Male
1006,accessory Regular Shades
1006,accessory Wild Hair
1006,accessory 2 attributes
1007,type Male
1007,accessory Vampire Hair
1007,accessory Earring
1007,accessory Regular Shades
1008,type Male
1008,accessory Earring
1008,accessory Luxurious Beard
1008,accessory Cap Forward
1009,type Male
1009,accessory Cap
1009,accessory Luxurious Beard
101,type Male
101,accessory Nerd Glasses
101,accessory Police Cap
101,accessory 2 attributes
1011,type Female
1011,accessory Stringy Hair
1011,accessory Earring
1011,accessory 2 attributes
1012,type Male
1012,accessory Eye Patch
1012,accessory Mohawk Thin
1012,accessory 2 attributes
1013,type Male
1013,accessory Clown Eyes Green
1013,accessory Fedora
1014,type Male
1014,accessory Luxurious Beard
1014,accessory Cap Forward
1015,type Female
1015,accessory Messy Hair
1015,accessory Silver Chain
1017,type Male
1017,accessory Mole
1017,accessory Goat
1017,accessory Top Hat
1018,type Male
1018,accessory Front Beard
1018,accessory Top Hat
1019,type Male
1019,accessory Chinstrap
1019,accessory Regular Shades
1019,accessory Headband
102,type Male
102,accessory Vampire Hair
102,accessory Luxurious Beard
102,accessory 2 attributes
1021,accessory Cap
1021,accessory Eye Patch
1021,type Ape
1021,accessory 2 attributes
1022,type Male
1022,accessory Mole
1022,accessory Mohawk Thin
1022,accessory 2 attributes
1023,type Female
1023,accessory Hot Lipstick
1023,accessory Headband
1024,type Female
1024,accessory Earring
1024,accessory Hot Lipstick
1024,accessory Wild Hair
1024,accessory Clown Eyes Blue
1025,type Male
1025,accessory Earring
1025,accessory Bandana
1025,accessory 2 attributes
1026,type Male
1026,accessory Peak Spike
1026,accessory Mole
1026,accessory Clown Eyes Blue
1026,accessory 3 attributes
1028,type Male
1028,accessory Big Shades
1028,accessory Mohawk Thin
1029,type Male
1029,accessory Horned Rim Glasses
1029,accessory Mustache
1029,accessory 2 attributes
103,type Female
103,accessory Green Eye Shadow
103,accessory Black Lipstick
103,accessory Blonde Bob
1030,type Male
1030,accessory Muttonchops
1030,accessory Fedora
1031,type Male
1031,accessory Small Shades
1031,accessory Cap Forward
1031,accessory 2 attributes
1032,type Female
1032,accessory Nerd Glasses
1032,accessory Straight Hair Dark
1033,type Female
1033,accessory Messy Hair
1033,accessory Hot Lipstick
1034,type Male
1034,accessory Earring
1034,accessory Big Shades
1034,accessory Hoodie
1034,accessory Normal Beard Black
1035,type Female
1035,accessory Black Lipstick
1035,accessory Wild Hair
1036,type Male
1036,accessory Classic Shades
1036,accessory Mohawk Thin
1036,accessory 2 attributes
1037,type Female
1037,accessory Blue Eye Shadow
1037,accessory Orange Side
1037,accessory 2 attributes
1039,type Female
1039,accessory Messy Hair
1039,accessory Hot Lipstick
1039,accessory Clown Eyes Blue
104,type Male
104,accessory Earring
104,accessory Eye Patch
104,accessory Normal Beard Black
104,accessory Crazy Hair
104,accessory 4 attributes
1040,type Female
1040,accessory Earring
1040,accessory Mohawk Dark
1041,type Female
1041,accessory Mohawk
1041,accessory Hot Lipstick
1041,accessory Vape
1041,accessory Purple Eye Shadow
1042,type Female
1042,accessory Classic Shades
1042,accessory Half Shaved
1043,type Female
1043,accessory Purple Lipstick
1043,accessory Regular Shades
1043,accessory Tassle Hat
1044,type Male
1044,accessory VR
1044,accessory Normal Beard
1046,type Female
1046,accessory Earring
1046,accessory Hot Lipstick
1046,accessory Wild Blonde
1046,accessory 3 attributes
1047,type Male
1047,accessory Mohawk Dark
1049,type Male
1049,accessory Smile
1049,accessory Crazy Hair
1051,type Female
1051,accessory Mole
1051,accessory Hot Lipstick
1051,accessory Tassle Hat
1052,type Female
1052,accessory Purple Lipstick
1052,accessory Earring
1052,accessory Bandana
1053,type Male
1053,accessory Nerd Glasses
1053,accessory Big Beard
1053,accessory Cap Forward
1053,accessory 3 attributes
1054,type Male
1054,accessory Stringy Hair
1054,accessory Earring
1054,accessory Goat
1055,type Female
1055,accessory Horned Rim Glasses
1055,accessory Hot Lipstick
1055,accessory Wild Blonde
1056,type Male
1056,accessory Peak Spike
1056,accessory Handlebars
1057,type Male
1057,accessory Messy Hair
1057,accessory Front Beard Dark
1057,accessory 2 attributes
1059,type Male
1059,accessory Earring
1059,accessory Frumpy Hair
1059,accessory Big Shades
106,type Female
106,accessory Straight Hair Blonde
1061,type Male
1061,accessory Messy Hair
1061,accessory Classic Shades
1062,type Male
1062,accessory Shadow Beard
1062,accessory Cigarette
1062,accessory Crazy Hair
1063,type Male
1063,accessory Peak Spike
1063,accessory Shadow Beard
1064,type Male
1064,accessory Wild Hair
1064,accessory Front Beard
1064,accessory 2 attributes
1065,type Female
1065,accessory Earring
1065,accessory Crazy Hair
1065,accessory 2 attributes
1066,type Male
1066,accessory Frumpy Hair
1066,accessory Small Shades
1067,type Male
1067,accessory Horned Rim Glasses
1067,accessory Mohawk
1067,accessory Front Beard
1068,type Male
1068,accessory Mohawk
1068,accessory Big Beard
1068,accessory 2 attributes
107,type Male
107,accessory Headband
107,accessory 1 attributes
1070,type Female
1070,accessory Earring
1070,accessory Pink With Hat
1070,accessory 2 attributes
1071,type Female
1071,accessory Purple Lipstick
1071,accessory Stringy Hair
1071,accessory 2 attributes
1072,type Male
1072,accessory Stringy Hair
1072,accessory Chinstrap
1072,accessory Eye Mask
1072,accessory 3 attributes
1073,type Female
1073,accessory Purple Lipstick
1073,accessory Clown Eyes Blue
1073,accessory Mohawk Dark
1073,accessory 3 attributes
1074,type Male
1074,accessory Normal Beard Black
1074,accessory Cowboy Hat
1074,accessory 2 attributes
1075,type Male
1075,accessory Cap
1075,accessory Earring
1075,accessory Chinstrap
1075,accessory Big Shades
1075,accessory 4 attributes
1076,type Female
1076,accessory Clown Eyes Blue
1076,accessory Half Shaved
1076,accessory 2 attributes
1077,type Male
1077,accessory Mohawk Dark
1077,accessory Mustache
1077,accessory 2 attributes
1078,type Male
1078,accessory Hoodie
1078,accessory Eye Mask
1078,accessory 2 attributes
1079,type Male
1079,accessory Purple Hair
1079,accessory 1 attributes
108,type Female
108,accessory Black Lipstick
108,accessory Headband
1080,type Male
1080,accessory Classic Shades
1080,accessory Hoodie
1080,accessory 2 attributes
1081,type Female
1081,accessory Cigarette
1081,accessory Blue Eye Shadow
1081,accessory Frumpy Hair
1081,accessory 3 attributes
1082,type Female
1082,accessory Wild Blonde
1082,accessory 1 attributes
1083,type Female
1083,accessory VR
1083,accessory Earring
1083,accessory Straight Hair Blonde
1083,accessory 3 attributes
1084,type Male
1084,accessory Nerd Glasses
1084,accessory Shaved Head
1084,accessory 2 attributes
1085,type Male
1085,accessory Cigarette
1085,accessory Big Shades
1085,accessory Mohawk Dark
1085,accessory 3 attributes
1086,type Female
1086,accessory Blonde Short
1086,accessory 1 attributes
1087,type Female
1087,accessory Mole
1087,accessory Frumpy Hair
1087,accessory 2 attributes
1088,type Male
1088,accessory Classic Shades
1088,accessory Shaved Head
1088,accessory Clown Nose
1088,accessory 3 attributes
1089,type Male
1089,accessory Chinstrap
1089,accessory Knitted Cap
1089,accessory 2 attributes
109,type Male
109,accessory Earring
109,accessory Fedora
109,accessory Handlebars
1090,type Female
1090,accessory Purple Lipstick
1090,accessory Mohawk Thin
1090,accessory 2 attributes
1091,type Male
1091,accessory Vampire Hair
1091,accessory Clown Eyes Blue
1091,accessory 2 attributes
1094,type Male
1094,accessory Classic Shades
1094,accessory Chinstrap
1094,accessory Hoodie
1095,type Male
1095,accessory Earring
1095,accessory Frumpy Hair
1095,accessory Luxurious Beard
1096,type Female
1096,accessory Black Lipstick
1096,accessory Mohawk Dark
1097,type Male
1097,accessory Nerd Glasses
1097,accessory Mole
1097,accessory Frumpy Hair
1097,accessory 3 attributes
1098,type Male
1098,accessory Earring
1098,accessory Bandana
1099,type Male
1099,accessory Top Hat
11,accessory Clown Eyes Green
11,type Female
11,accessory Black Lipstick
11,accessory Straight Hair Dark
11,accessory 3 attributes
110,type Female
110,accessory Purple Lipstick
110,accessory Cigarette
110,accessory Earring
110,accessory Mohawk Dark
1100,type Male
1100,accessory Nerd Glasses
1100,accessory Vampire Hair
1100,accessory Frown
1101,type Male
1101,accessory Nerd Glasses
1101,accessory Messy Hair
1101,accessory Handlebars
1101,accessory 3 attributes
1102,type Female
1102,accessory Black Lipstick
1102,accessory Clown Eyes Blue
1102,accessory Straight Hair
1102,accessory Clown Nose
1103,type Male
1103,accessory Peak Spike
1103,accessory Nerd Glasses
1104,type Male
1104,accessory Messy Hair
1104,accessory Earring
1104,accessory Eye Mask
1104,accessory 3 attributes
1106,type Male
1106,accessory Peak Spike
1106,accessory Cigarette
1106,accessory Luxurious Beard
1106,accessory 3 attributes
1107,type Female
1107,accessory Hot Lipstick
1107,accessory Mohawk Dark
1107,accessory 2 attributes
1108,type Male
1108,accessory Luxurious Beard
1108,accessory Hoodie
1109,type Male
1109,accessory Mohawk Thin
1109,accessory Small Shades
111,type Male
111,accessory Knitted Cap
111,accessory Handlebars
111,accessory 2 attributes
1110,type Female
1110,accessory Purple Lipstick
1110,accessory Earring
1110,accessory Wild Hair
1110,accessory Purple Eye Shadow
1111,type Male
1111,accessory Peak Spike
1111,accessory Shadow Beard
1111,accessory Silver Chain
1113,type Male
1113,accessory Cigarette
1113,accessory Eye Patch
1113,accessory Knitted Cap
1113,accessory Front Beard Dark
1114,type Male
1114,accessory Chinstrap
1114,accessory Purple Hair
1115,type Female
1115,accessory Hot Lipstick
1115,accessory Wild White Hair
1116,type Male
1116,accessory Shadow Beard
1116,accessory Cowboy Hat
1117,type Male
1117,accessory Shadow Beard
1117,accessory Horned Rim Glasses
1117,accessory Mohawk Thin
1118,type Male
1118,accessory Smile
1118,accessory Cap Forward
1119,accessory Shadow Beard
1119,accessory Eye Patch
1119,accessory Do-rag
1119,type Zombie
112,type Male
112,accessory Horned Rim Glasses
112,accessory Big Beard
112,accessory Earring
112,accessory Bandana
1120,type Female
1120,accessory Hot Lipstick
1120,accessory Wild Hair
1121,type Male
1121,accessory Big Shades
1121,accessory Mohawk Thin
1121,accessory 2 attributes
1122,type Male
1122,accessory Mohawk Dark
1122,accessory Small Shades
1124,type Male
1124,accessory Nerd Glasses
1124,accessory Earring
1124,accessory Mohawk Dark
1124,accessory Handlebars
1124,accessory 4 attributes
1125,type Male
1125,accessory Big Shades
1125,accessory Bandana
1126,type Male
1126,accessory Messy Hair
1126,accessory VR
1126,accessory Chinstrap
1126,accessory 3 attributes
1128,type Male
1128,accessory Shadow Beard
1128,accessory Frumpy Hair
1128,accessory 2 attributes
1129,type Male
1129,accessory Front Beard
1129,accessory Vape
1129,accessory Purple Hair
113,type Male
113,accessory Mohawk
1130,type Female
1130,accessory Nerd Glasses
1130,accessory Dark Hair
1131,type Male
1131,accessory Cigarette
1131,accessory Cap Forward
1131,accessory 2 attributes
1133,type Male
1133,accessory Frown
1133,accessory Mohawk Thin
1133,accessory 2 attributes
1134,type Male
1134,accessory Nerd Glasses
1134,accessory Wild Hair
1134,accessory Goat
1134,accessory 3 attributes
1135,type Male
1135,accessory Gold Chain
1135,accessory Earring
1135,accessory Shaved Head
1136,type Male
1136,accessory Muttonchops
1136,accessory Earring
1136,accessory Wild Hair
1136,accessory Small Shades
1136,accessory 4 attributes
1137,type Male
1137,accessory Shadow Beard
1137,accessory Earring
1137,accessory Mohawk Dark
1137,accessory 3 attributes
1138,type Female
1138,accessory Nerd Glasses
1138,accessory Messy Hair
1138,accessory Cigarette
1138,accessory 3 attributes
1139,type Female
1139,accessory Mole
1139,accessory Eye Patch
1139,accessory Dark Hair
1139,accessory Hot Lipstick
1139,accessory 4 attributes
114,type Female
114,accessory Red Mohawk
1140,type Female
1140,accessory Purple Lipstick
1140,accessory Earring
1140,accessory Wild White Hair
1140,accessory 3 attributes
1141,type Female
1141,accessory Mohawk
1141,accessory Earring
1142,type Female
1142,accessory Black Lipstick
1142,accessory Tassle Hat
1143,type Male
1143,accessory Bandana
1143,accessory Front Beard Dark
1145,type Male
1145,accessory Cap
1145,accessory Earring
1145,accessory 2 attributes
1147,type Male
1147,accessory Shaved Head
1147,accessory 3D Glasses
1147,accessory 2 attributes
1148,type Female
1148,accessory Earring
1148,accessory Eye Patch
1148,accessory Wild Blonde
1149,type Female
1149,accessory Hot Lipstick
1149,accessory Mohawk Dark
1149,accessory 2 attributes
115,type Female
